asset,horizon,model,mae,rmse,directional_accuracy,interval_coverage,var_breach_rate,band_width,calibration_score,is_selected,is_baseline
BTCUSDT,1D,last_price_baseline,0.015757,0.020188,0.6875,0.8125,0.0000,0.0478,0.8171,TRUE,TRUE
BTCUSDT,1D,rolling_vol_baseline,0.015757,0.020188,0.6875,0.8125,0.0000,0.0478,0.8171,FALSE,TRUE
BTCUSDT,1D,rolling_mean_baseline,0.015828,0.020013,0.6250,0.8125,0.0000,0.0479,0.8042,FALSE,TRUE
BTCUSDT,1D,ewma,0.015800,0.019635,0.6250,0.8125,0.0000,0.0503,0.8036,FALSE,FALSE
BTCUSDT,1D,arima,0.014976,0.020085,0.4375,0.8125,0.0000,0.0456,0.7712,FALSE,FALSE
BTCUSDT,1D,garch,0.015768,0.020007,0.5625,0.7500,0.0000,0.0478,0.7170,FALSE,FALSE
BTCUSDT,1D,xgboost,0.018414,0.025728,0.5000,0.6875,0.0000,0.0474,0.5684,FALSE,FALSE
BTCUSDT,1D,historical_mean_baseline,0.016018,0.020221,0.3750,1.0000,0.0000,0.0758,0.3700,FALSE,TRUE
BTCUSDT,3D,rolling_mean_baseline,0.019782,0.030060,0.5625,0.8750,0.0625,0.0833,0.6395,TRUE,TRUE
BTCUSDT,3D,last_price_baseline,0.019879,0.030920,0.5000,0.8750,0.0625,0.0828,0.6267,FALSE,TRUE
BTCUSDT,3D,rolling_vol_baseline,0.019879,0.030920,0.5000,0.8750,0.0625,0.0828,0.6267,FALSE,TRUE
BTCUSDT,3D,xgboost,0.034403,0.048552,0.4375,0.8750,0.0625,0.0814,0.5638,FALSE,FALSE
BTCUSDT,3D,ewma,0.019128,0.029715,0.5625,0.9375,0.0625,0.0875,0.5159,FALSE,FALSE
BTCUSDT,3D,garch,0.018854,0.028761,0.5000,0.9375,0.0625,0.0832,0.5058,FALSE,FALSE
BTCUSDT,3D,historical_mean_baseline,0.019339,0.028976,0.5625,0.9375,0.0625,0.1310,0.5020,FALSE,TRUE
BTCUSDT,3D,arima,0.021890,0.033236,0.3750,0.9375,0.0625,0.0790,0.4699,FALSE,FALSE
BTCUSDT,7D,last_price_baseline,0.038231,0.048414,0.7500,0.8125,0.0625,0.1265,0.7267,TRUE,TRUE
BTCUSDT,7D,rolling_vol_baseline,0.038231,0.048414,0.7500,0.8125,0.0625,0.1265,0.7267,FALSE,TRUE
BTCUSDT,7D,rolling_mean_baseline,0.035851,0.051166,0.6875,0.8125,0.0625,0.1281,0.7205,FALSE,TRUE
BTCUSDT,7D,garch,0.038641,0.048631,0.5000,0.8125,0.0625,0.1279,0.6751,FALSE,FALSE
BTCUSDT,7D,ewma,0.033882,0.048149,0.6875,0.8750,0.0000,0.1345,0.5995,FALSE,FALSE
BTCUSDT,7D,arima,0.034130,0.046498,0.5000,0.8750,0.0625,0.1207,0.5654,FALSE,FALSE
BTCUSDT,7D,xgboost,0.051899,0.077507,0.6875,0.6250,0.0625,0.1226,0.3570,FALSE,FALSE
BTCUSDT,7D,historical_mean_baseline,0.041797,0.050699,0.4375,1.0000,0.0000,0.1991,0.2578,FALSE,TRUE
BTCUSDT,30D,ewma,0.083529,0.128044,0.8824,0.8235,0.0000,0.2990,0.5962,TRUE,FALSE
BTCUSDT,30D,rolling_mean_baseline,0.085560,0.122972,0.8824,0.7647,0.0000,0.2925,0.5723,FALSE,TRUE
BTCUSDT,30D,last_price_baseline,0.091876,0.106601,0.8824,0.7647,0.0000,0.2792,0.5699,FALSE,TRUE
